society_id,society_name,society_xd_id,language_glottocode,language_name,language_family,variable_id,code,code_label,focal_year,sub_case,comment
WNAI139,Yavapai (Southeast),xd1203,yava1252,Yavapai,Cochimi-Yuman,AmphibianRichness,10.25552466,,2013,,
Sf5,Páez,xd1378,paez1247,Páez,,AmphibianRichness,10.28270992,,2013,,
Sb8,Taíno,xd1333,tain1254,Taino,Arawakan,AmphibianRichness,10.28500182,,2013,,
Ia18,Bisayan,xd741,akla1241,Aklanon,Austronesian,AmphibianRichness,10.30241623,,2013,,
B130,Ngiyambaa,xd784,wang1291,Ngiyambaa,Pama-Nyungan,AmphibianRichness,10.32446821,,2013,,
SCCS50,Spanish Basques,xd535,west1508,Western Low Navarrese,Basque,AmphibianRichness,10.35142241,,2013,,
Nc26,Salinan,xd1125,sali1253,Salinan,,AmphibianRichness,10.36251327,,2013,,
Nj7,Mixe,xd1306,isth1238,Isthmus Mixe,Mixe-Zoque,AmphibianRichness,10.4661119,,2013,,
Ia7,Tagbanua,xd747,tagb1258,Tagbanwa,Austronesian,AmphibianRichness,10.49063765,,2013,,
Nj9,Tlaxcalans,xd1308,cent2132,Tlaxcala-Puebla-Central Nahuatl,Uto-Aztecan,AmphibianRichness,10.57761811,,2013,,
Ce4,French Basques,xd531,labo1236,Labourdin,Basque,AmphibianRichness,10.61137854,,2013,,
B219,North Fork Mono,xd993,mono1275,Mono (USA),Uto-Aztecan,AmphibianRichness,10.62077338,,2013,,
Nc23,Western Mono,xd1122,mono1275,Mono (USA),Uto-Aztecan,AmphibianRichness,10.62077338,,2013,,
WNAI72,Kings River Western Mono,xd1122,mono1275,Mono (USA),Uto-Aztecan,AmphibianRichness,10.62077338,,2013,,
WNAI74,Kings River Yokuts,xd1436,sout2955,Southern Valley Yokuts,Yokutsan,AmphibianRichness,10.62077338,,2013,,
Nh4,Zuni,xd1280,zuni1245,Zuni,,AmphibianRichness,10.63100751,,2013,,
ch21,Latvians,xd559,latv1249,Latvian,Indo-European,AmphibianRichness,10.64725605,,2013,,
Nh1,Chiricahua,xd1259,mesc1238,Mescalero-Chiricahua Apache,Athabaskan-Eyak-Tlingit,AmphibianRichness,10.66652541,,2013,,
Nc8,Klamath,xd1139,klam1254,Klamath-Modoc,,AmphibianRichness,10.73631523,,2013,,
Eh4,Vedda,xd690,vedd1240,Veddah,Indo-European,AmphibianRichness,10.74108045,,2013,,
B270,Puyallup,xd1076,sout2965,Southern Puget Sound Salish,Salishan,AmphibianRichness,10.77335792,,2013,,
B167,Lassik,xd1098,wail1244,Wailaki,Athabaskan-Eyak-Tlingit,AmphibianRichness,10.78670677,,2013,,
Nb38,Mattole-Bear River,xd1099,matt1238,Mattole,Athabaskan-Eyak-Tlingit,AmphibianRichness,10.78670677,,2013,,
Cb23,Tukulor,xd473,pula1263,Pulaar,Atlantic-Congo,AmphibianRichness,10.7963809,,2013,,
SCCS31,Shilluk,xd380,shil1265,Shilluk,Nilotic,AmphibianRichness,10.84598944,,2013,,
Ai46,Koma,xd377,komo1258,Komo (Sudan),Koman,AmphibianRichness,10.91393521,,2013,,
Ai47,Mao,xd378,hozo1236,Hozo,Blue Nile Mao,AmphibianRichness,10.91393521,,2013,,
Ca27,Anfillo,xd434,anfi1235,Anfillo,Ta-Ne-Omotic,AmphibianRichness,10.91393521,,2013,,
Id9,Ngiyambaa,xd784,wang1291,Ngiyambaa,Pama-Nyungan,AmphibianRichness,10.93312965,,2013,,
WNAI136,Havasupai,xd1163,hava1249,Havasupai,Cochimi-Yuman,AmphibianRichness,10.98004149,,2013,,
Nh11,San Ildefonso,xd1261,sani1273,San Ildefonso,Kiowa-Tanoan,AmphibianRichness,10.98386089,,2013,,
Nh26,Santa Clara,xd1277,sant1421,Santa Clara,Kiowa-Tanoan,AmphibianRichness,10.98386089,,2013,,
Nh7,Cochiti,xd1283,coch1273,Cochiti,Keresan,AmphibianRichness,10.98386089,,2013,,
Nh9,Picuris,xd1285,picu1248,Picuris Northern Tiwa,Kiowa-Tanoan,AmphibianRichness,10.98386089,,2013,,
WNAI165,Cochiti,xd1283,coch1273,Cochiti,Keresan,AmphibianRichness,10.98386089,,2013,,
WNAI167,San Ildefonso,xd1261,sani1273,San Ildefonso,Kiowa-Tanoan,AmphibianRichness,10.98386089,,2013,,
WNAI168,Santa Clara,xd1277,sant1421,Santa Clara,Kiowa-Tanoan,AmphibianRichness,10.98386089,,2013,,
Ai6,Shilluk,xd380,shil1265,Shilluk,Nilotic,AmphibianRichness,11.0,,2013,,
B241,Comanche,xd1222,coma1245,Comanche,Uto-Aztecan,AmphibianRichness,11.0,,2013,,
B286,Makah,xd1084,maka1318,Makah,Wakashan,AmphibianRichness,11.0,,2013,,
B337,Nipigon,xd1051,cent2136,Central Ojibwa,Algic,AmphibianRichness,11.0,,2013,,
Ce2,Portuguese,xd529,gali1257,Galician Portuguese,Indo-European,AmphibianRichness,11.0,,2013,,
Ce7,Greeks,xd534,mode1248,Modern Greek,Indo-European,AmphibianRichness,11.0,,2013,,
Ch11,Russians,xd548,russ1263,Russian,Indo-European,AmphibianRichness,11.0,,2013,,
Ch5,Bulgarians,xd569,bulg1262,Bulgarian,Indo-European,AmphibianRichness,11.0,,2013,,
Nb24,Makah,xd1084,maka1318,Makah,Wakashan,AmphibianRichness,11.0,,2013,,
Nf10,Iowa,xd1230,iowa1246,Iowa,Siouan,AmphibianRichness,11.0,,2013,,
Nj13,Otomí,xd1299,mezq1235,Mezquital Otomi,Otomanguean,AmphibianRichness,11.0,,2013,,
SCCS54,Russians,xd548,russ1263,Russian,Indo-European,AmphibianRichness,11.0,,2013,,
WNAI13,Makah,xd1084,maka1318,Makah,Wakashan,AmphibianRichness,11.0,,2013,,
WNAI172,Jemez,xd1284,jeme1245,Towa,Kiowa-Tanoan,AmphibianRichness,11.0,,2013,,
B7,Ayta (Pinatubo),xd904,boto1242,Botolan Sambal,Austronesian,AmphibianRichness,11.07232586,,2013,,
B159,Clear Lake Pomo,xd1116,east2545,Eastern Pomo,Pomoan,AmphibianRichness,11.09848411,,2013,,
WNAI50,Nomlaki,xd1107,noml1242,Nomlaki,Wintuan,AmphibianRichness,11.09848411,,2013,,
ch25,Moldovans,xd563,mold1248,Moldavian,Indo-European,AmphibianRichness,11.15526275,,2013,,
Nh16,Jicarilla,xd1266,jica1244,Jicarilla Apache,Athabaskan-Eyak-Tlingit,AmphibianRichness,11.24914809,,2013,,
Ne3,Comanche,xd1222,coma1245,Comanche,Uto-Aztecan,AmphibianRichness,11.27293908,,2013,,
Nj5,Mazateco,xd1304,huau1238,Huautla Mazatec,Otomanguean,AmphibianRichness,11.28646513,,2013,,
B198,Hualapai,xd1202,wala1270,Walapai,Cochimi-Yuman,AmphibianRichness,11.29838713,,2013,,
WNAI80,Salinan,xd1125,sali1253,Salinan,,AmphibianRichness,11.3041233,,2013,,
Nf15,Kickapoo,xd1235,kick1244,Kickapoo,Algic,AmphibianRichness,11.41481667,,2013,,
B72,!Kung,xd1,juho1239,South-Eastern Ju,Kxa,AmphibianRichness,11.43265039,,2013,,
Aa1,!Kung,xd1,juho1239,South-Eastern Ju,Kxa,AmphibianRichness,11.56812081,,2013,,
B179,Shasta,xd1093,shas1239,Shasta,Shastan,AmphibianRichness,11.61844528,,2013,,
