society_id,society_name,society_xd_id,language_glottocode,language_name,language_family,variable_id,code,code_label,focal_year,sub_case,comment
B176,Takelma,xd1091,take1257,Takelma,,NetPrimaryProductionContingency,0.399534206,,,,
WNAI34,Taltushtuntede,xd1423,gali1261,Galice,Athabaskan-Eyak-Tlingit,NetPrimaryProductionContingency,0.399534206,,,,
B340,Waswanipi Cree,xd1005,sout2978,Southern East Cree,Algic,NetPrimaryProductionContingency,0.400326336,,,,
B330,Bitterroot Salish,xd1144,kali1309,Kalispel,Salishan,NetPrimaryProductionContingency,0.402420025,,,,
WNAI20,Musqueam,xd1441,musq1240,Musqueam,Salishan,NetPrimaryProductionContingency,0.403033595,,,,
ch16,Estonians,xd553,esto1258,Estonian,Uralic,NetPrimaryProductionContingency,0.403122964,,,,
B259,Kainai,xd1212,bloo1239,Blood,Algic,NetPrimaryProductionContingency,0.404009926,,,,
Cf1,New Englanders,xd536,stan1293,English,Indo-European,NetPrimaryProductionContingency,0.404041291,,,,
Ch6,Byelorussians,xd570,bela1254,Belarusian,Indo-European,NetPrimaryProductionContingency,0.404340936,,,,
WNAI95,Chilcotin,xd1206,chil1280,Chilcotin,Athabaskan-Eyak-Tlingit,NetPrimaryProductionContingency,0.404691998,,,,
B324,Nez Perce,xd1153,nezp1238,Nez Perce,Sahaptian,NetPrimaryProductionContingency,0.404761887,,,,
Cf3,Tristan da Cunha,xd538,stan1293,English,Indo-European,NetPrimaryProductionContingency,0.404963017,,,,
ch22,Lithuanian Karaim,xd560,kara1464,Karaim,Turkic,NetPrimaryProductionContingency,0.405081312,,,,
B332,Northern Saulteaux,xd1049,alba1270,Albany River Ojibwa,Algic,NetPrimaryProductionContingency,0.405145533,,,,
Nf15,Kickapoo,xd1235,kick1244,Kickapoo,Algic,NetPrimaryProductionContingency,0.405362326,,,,
Nd7,Kutenai,xd1205,kute1249,Kutenai,,NetPrimaryProductionContingency,0.406710544,,,,
Ne7,Sarcee,xd1226,sars1236,Sarsi,Athabaskan-Eyak-Tlingit,NetPrimaryProductionContingency,0.406753363,,,,
Na28,Sekani,xd1044,seka1250,Sekani,Athabaskan-Eyak-Tlingit,NetPrimaryProductionContingency,0.407777424,,,,
SCCS127,Northern Saulteaux,xd1049,alba1270,Albany River Ojibwa,Algic,NetPrimaryProductionContingency,0.408083584,,,,
Nd14,Coeur d’Alene,xd1146,coeu1236,Coeur d'Alene,Salishan,NetPrimaryProductionContingency,0.408349508,,,,
WNAI103,Coeur d’Alene,xd1146,coeu1236,Coeur d'Alene,Salishan,NetPrimaryProductionContingency,0.408349508,,,,
Ch3,Czechs,xd567,czec1258,Czech,Indo-European,NetPrimaryProductionContingency,0.408356382,,,,
Nf7,Fox,xd1241,mesk1242,Meskwaki,Algic,NetPrimaryProductionContingency,0.408588802,,,,
Na33,Northern Saulteaux,xd1049,alba1270,Albany River Ojibwa,Algic,NetPrimaryProductionContingency,0.40906797,,,,
B250,Kutenai,xd1205,kute1249,Kutenai,,NetPrimaryProductionContingency,0.409737208,,,,
WNAI99,Syilx,xd1001,sout2963,Southern Okanogan,Salishan,NetPrimaryProductionContingency,0.410189442,,,,
Ch9,Lithuanians,xd573,lith1251,Lithuanian,Indo-European,NetPrimaryProductionContingency,0.410591944,,,,
ch23,Lithuanian Tatar,xd561,west2405,Western Tatar,Turkic,NetPrimaryProductionContingency,0.410591944,,,,
ch27,Veps,xd565,veps1250,Veps,Uralic,NetPrimaryProductionContingency,0.41099669,,,,
B344,Beaver,xd1045,beav1236,Beaver,Athabaskan-Eyak-Tlingit,NetPrimaryProductionContingency,0.411365584,,,,
Nb21,Coos,xd1081,coos1249,Hanis,Coosan,NetPrimaryProductionContingency,0.411724438,,,,
Ne19,Plains Cree,xd1218,plai1258,Plains Cree,Algic,NetPrimaryProductionContingency,0.412447448,,,,
Ne20,Santee,xd1220,dako1258,Dakota,Siouan,NetPrimaryProductionContingency,0.412447448,,,,
ch21,Latvians,xd559,latv1249,Latvian,Indo-European,NetPrimaryProductionContingency,0.412549814,,,,
B326,Kalispel,xd1145,kali1309,Kalispel,Salishan,NetPrimaryProductionContingency,0.412606679,,,,
WNAI32,Tututni,xd1092,tutu1242,Tututni,Athabaskan-Eyak-Tlingit,NetPrimaryProductionContingency,0.41267787,,,,
WNAI33,Chetco,xd1422,tolo1259,Tolowa-Chetco,Athabaskan-Eyak-Tlingit,NetPrimaryProductionContingency,0.41267787,,,,
Nf2,Ho Chunk,xd1236,hoch1243,Ho-Chunk,Siouan,NetPrimaryProductionContingency,0.413213523,,,,
Ng5,Cherokee,xd1254,cher1273,Cherokee,Iroquoian,NetPrimaryProductionContingency,0.413670368,,,,
WNAI4,Haida (Southern),xd1438,sout2956,Southern Haida,Haida,NetPrimaryProductionContingency,0.414019109,,,,
ch24,Livs,xd562,livv1244,Liv,Uralic,NetPrimaryProductionContingency,0.414080444,,,,
Ne14,Bungi,xd1213,west1510,Western Ojibwa,Algic,NetPrimaryProductionContingency,0.414165458,,,,
B268,Squamish,xd1072,squa1248,Squamish,Salishan,NetPrimaryProductionContingency,0.414777993,,,,
WNAI16,Squamish,xd1072,squa1248,Squamish,Salishan,NetPrimaryProductionContingency,0.414777993,,,,
WNAI104,Kalispel,xd1145,kali1309,Kalispel,Salishan,NetPrimaryProductionContingency,0.415440241,,,,
Na32,Montagnais,xd1048,mont1268,Montagnais,Algic,NetPrimaryProductionContingency,0.41632435,,,,
Nb27,Stó:lō,xd1087,chil1281,Chiliwack,Salishan,NetPrimaryProductionContingency,0.416700105,,,,
Nb17,Puyallup,xd1076,sout2965,Southern Puget Sound Salish,Salishan,NetPrimaryProductionContingency,0.417329268,,,,
Cg5,Walloons,xd545,wall1255,Walloon,Indo-European,NetPrimaryProductionContingency,0.417381819,,,,
WNAI105,Bitterroot Salish,xd1144,kali1309,Kalispel,Salishan,NetPrimaryProductionContingency,0.418724612,,,,
WNAI17,Cowichan,xd1086,cowi1241,Cowichan,Salishan,NetPrimaryProductionContingency,0.418730004,,,,
WNAI21,Lummi,xd1074,lumm1243,Lummi,Salishan,NetPrimaryProductionContingency,0.418730004,,,,
Nb15,Lummi,xd1074,lumm1243,Lummi,Salishan,NetPrimaryProductionContingency,0.419881082,,,,
Na36,Minnesota Ojibwa,xd1052,redl1238,Red Lake Chippewa,Algic,NetPrimaryProductionContingency,0.420347728,,,,
WNAI10,Kwakwaka'wakw,xd1090,kwak1269,Kwak'wala,Wakashan,NetPrimaryProductionContingency,0.420668829,,,,
ch18,Ingrians,xd555,ingr1248,Ingrian,Uralic,NetPrimaryProductionContingency,0.420853591,,,,
ch28,Votes,xd566,voti1245,Votic,Uralic,NetPrimaryProductionContingency,0.420853591,,,,
B279,Stó:lō,xd1087,chil1281,Chiliwack,Salishan,NetPrimaryProductionContingency,0.421250739,,,,
Nb26,Cowichan,xd1086,cowi1241,Cowichan,Salishan,NetPrimaryProductionContingency,0.421250739,,,,
B288,Kwakwaka'wakw,xd1090,kwak1269,Kwak'wala,Wakashan,NetPrimaryProductionContingency,0.421342276,,,,
