"","society_id","Gathering","Hunting","Fishing","Husbandry","Agriculture","Agriculture_intensity"
"1","Aa1",74.1935483870968,18.8940092165899,2.30414746543779,2.30414746543779,2.30414746543779,"No agriculture"
"2","Aa2",37.3271889400922,55.7603686635945,2.30414746543779,2.30414746543779,2.30414746543779,"No agriculture"
"3","Aa3",10.0478468899522,29.1866028708134,10.0478468899522,48.3253588516746,2.39234449760766,"No agriculture"
"4","Aa4",38.755980861244,29.1866028708134,10.0478468899522,19.6172248803828,2.39234449760766,NA
"5","Aa5",28.110599078341,64.9769585253456,2.30414746543779,2.30414746543779,2.30414746543779,"No agriculture"
"6","Aa6",10.2439024390244,10.2439024390244,10.2439024390244,20,49.2682926829268,"Extensive/shifting"
"7","Aa7",64.9769585253456,28.110599078341,2.30414746543779,2.30414746543779,2.30414746543779,"No agriculture"
"8","Aa8",47.4178403755869,38.0281690140845,9.85915492957746,2.34741784037559,2.34741784037559,"No agriculture"
"9","Aa9",55.7603686635945,37.3271889400922,2.30414746543779,2.30414746543779,2.30414746543779,"No agriculture"
"10","Ab1",9.85915492957746,28.6384976525822,2.34741784037559,56.8075117370892,2.34741784037559,"No agriculture"
"11","Ab10",2.30414746543779,2.30414746543779,2.30414746543779,46.5437788018433,46.5437788018433,"Intensive"
"12","Ab11",10.0478468899522,10.0478468899522,2.39234449760766,29.1866028708134,48.3253588516746,"Extensive/shifting"
"13","Ab12",2.34741784037559,9.85915492957746,2.34741784037559,38.0281690140845,47.4178403755869,"Extensive/shifting"
"14","Ab13",2.34741784037559,9.85915492957746,2.34741784037559,38.0281690140845,47.4178403755869,"Extensive/shifting"
"15","Ab14",9.85915492957746,2.34741784037559,2.34741784037559,28.6384976525822,56.8075117370892,"Intensive"
"16","Ab15",2.34741784037559,9.85915492957746,2.34741784037559,28.6384976525822,56.8075117370892,"Extensive/shifting"
"17","Ab16",10.2439024390244,10.2439024390244,10.2439024390244,20,49.2682926829268,"Extensive/shifting"
"18","Ab17",2.39234449760766,10.0478468899522,19.6172248803828,19.6172248803828,48.3253588516746,NA
"19","Ab18",10.2439024390244,10.2439024390244,10.2439024390244,20,49.2682926829268,"Extensive/shifting"
"20","Ab19",2.39234449760766,10.0478468899522,10.0478468899522,29.1866028708134,48.3253588516746,"Extensive/shifting"
"21","Ab2",10.0478468899522,10.0478468899522,2.39234449760766,19.6172248803828,57.8947368421053,"Extensive/shifting"
"22","Ab20",2.39234449760766,10.0478468899522,10.0478468899522,29.1866028708134,48.3253588516746,NA
"23","Ab21a",10.0478468899522,19.6172248803828,2.39234449760766,10.0478468899522,57.8947368421053,"Extensive/shifting"
"24","Ab21b",2.30414746543779,2.30414746543779,2.30414746543779,37.3271889400922,55.7603686635945,NA
"25","Ab22",2.39234449760766,10.0478468899522,10.0478468899522,19.6172248803828,57.8947368421053,NA
"26","Ab3",10.2439024390244,20,10.2439024390244,20,39.5121951219512,"Intensive"
"27","Ab4",2.39234449760766,10.0478468899522,10.0478468899522,29.1866028708134,48.3253588516746,"Extensive/shifting"
"28","Ab5",10.2439024390244,10.2439024390244,10.2439024390244,20,49.2682926829268,"Extensive/shifting"
"29","Ab6",10.0478468899522,10.0478468899522,2.39234449760766,19.6172248803828,57.8947368421053,"Intensive"
"30","Ab7",2.39234449760766,10.0478468899522,10.0478468899522,38.755980861244,38.755980861244,"Extensive/shifting"
"31","Ab8",10.0478468899522,10.0478468899522,2.39234449760766,29.1866028708134,48.3253588516746,"Intensive"
"32","Ab9",2.34741784037559,9.85915492957746,2.34741784037559,38.0281690140845,47.4178403755869,"Extensive/shifting"
"33","Ac1",9.85915492957746,2.34741784037559,2.34741784037559,28.6384976525822,56.8075117370892,"Extensive/shifting"
"34","Ac10",10.2439024390244,20,10.2439024390244,10.2439024390244,49.2682926829268,"Extensive/shifting"
"35","Ac11",2.34741784037559,9.85915492957746,28.6384976525822,2.34741784037559,56.8075117370892,"Extensive/shifting"
"36","Ac12",2.39234449760766,29.1866028708134,10.0478468899522,10.0478468899522,48.3253588516746,"Extensive/shifting"
"37","Ac13",10.0478468899522,2.39234449760766,38.755980861244,10.0478468899522,38.755980861244,"Extensive/shifting"
"38","Ac14",10.2439024390244,10.2439024390244,10.2439024390244,10.2439024390244,59.0243902439024,"Extensive/shifting"
"39","Ac15",10.0478468899522,2.39234449760766,19.6172248803828,10.0478468899522,57.8947368421053,NA
"40","Ac16",10.2439024390244,10.2439024390244,10.2439024390244,10.2439024390244,59.0243902439024,"Extensive/shifting"
"41","Ac17",10.0478468899522,19.6172248803828,10.0478468899522,2.39234449760766,57.8947368421053,"Extensive/shifting"
"42","Ac18",10.2439024390244,10.2439024390244,10.2439024390244,10.2439024390244,59.0243902439024,"Extensive/shifting"
"43","Ac19",2.39234449760766,10.0478468899522,10.0478468899522,10.0478468899522,67.4641148325359,"Extensive/shifting"
"44","Ac2",10.0478468899522,2.39234449760766,10.0478468899522,19.6172248803828,57.8947368421053,"Extensive/shifting"
"45","Ac20",2.34741784037559,19.2488262910798,2.34741784037559,9.85915492957746,66.1971830985916,"Extensive/shifting"
"46","Ac21",2.39234449760766,10.0478468899522,10.0478468899522,10.0478468899522,67.4641148325359,"Extensive/shifting"
"47","Ac22",10.2439024390244,20,10.2439024390244,10.2439024390244,49.2682926829268,"Extensive/shifting"
