"","Gathering","Hunting","Fishing","Husbandry","Agriculture","Agriculture_intensity"
"1",74.1935483870968,18.8940092165899,2.30414746543779,2.30414746543779,2.30414746543779,"No agriculture"
"2",37.3271889400922,55.7603686635945,2.30414746543779,2.30414746543779,2.30414746543779,"No agriculture"
"3",10.0478468899522,29.1866028708134,10.0478468899522,48.3253588516746,2.39234449760766,"No agriculture"
"4",38.755980861244,29.1866028708134,10.0478468899522,19.6172248803828,2.39234449760766,NA
"5",28.110599078341,64.9769585253456,2.30414746543779,2.30414746543779,2.30414746543779,"No agriculture"
"6",10.2439024390244,10.2439024390244,10.2439024390244,20,49.2682926829268,"Extensive/shifting"
"7",64.9769585253456,28.110599078341,2.30414746543779,2.30414746543779,2.30414746543779,"No agriculture"
"8",47.4178403755869,38.0281690140845,9.85915492957746,2.34741784037559,2.34741784037559,"No agriculture"
"9",55.7603686635945,37.3271889400922,2.30414746543779,2.30414746543779,2.30414746543779,"No agriculture"
"10",9.85915492957746,28.6384976525822,2.34741784037559,56.8075117370892,2.34741784037559,"No agriculture"
"11",2.30414746543779,2.30414746543779,2.30414746543779,46.5437788018433,46.5437788018433,"Intensive"
"12",10.0478468899522,10.0478468899522,2.39234449760766,29.1866028708134,48.3253588516746,"Extensive/shifting"
"13",2.34741784037559,9.85915492957746,2.34741784037559,38.0281690140845,47.4178403755869,"Extensive/shifting"
"14",2.34741784037559,9.85915492957746,2.34741784037559,38.0281690140845,47.4178403755869,"Extensive/shifting"
"15",9.85915492957746,2.34741784037559,2.34741784037559,28.6384976525822,56.8075117370892,"Intensive"
"16",2.34741784037559,9.85915492957746,2.34741784037559,28.6384976525822,56.8075117370892,"Extensive/shifting"
"17",10.2439024390244,10.2439024390244,10.2439024390244,20,49.2682926829268,"Extensive/shifting"
"18",2.39234449760766,10.0478468899522,19.6172248803828,19.6172248803828,48.3253588516746,NA
"19",10.2439024390244,10.2439024390244,10.2439024390244,20,49.2682926829268,"Extensive/shifting"
"20",2.39234449760766,10.0478468899522,10.0478468899522,29.1866028708134,48.3253588516746,"Extensive/shifting"
"21",10.0478468899522,10.0478468899522,2.39234449760766,19.6172248803828,57.8947368421053,"Extensive/shifting"
"22",2.39234449760766,10.0478468899522,10.0478468899522,29.1866028708134,48.3253588516746,NA
"23",10.0478468899522,19.6172248803828,2.39234449760766,10.0478468899522,57.8947368421053,"Extensive/shifting"
"24",2.30414746543779,2.30414746543779,2.30414746543779,37.3271889400922,55.7603686635945,NA
"25",2.39234449760766,10.0478468899522,10.0478468899522,19.6172248803828,57.8947368421053,NA
"26",10.2439024390244,20,10.2439024390244,20,39.5121951219512,"Intensive"
"27",2.39234449760766,10.0478468899522,10.0478468899522,29.1866028708134,48.3253588516746,"Extensive/shifting"
"28",10.2439024390244,10.2439024390244,10.2439024390244,20,49.2682926829268,"Extensive/shifting"
"29",10.0478468899522,10.0478468899522,2.39234449760766,19.6172248803828,57.8947368421053,"Intensive"
"30",2.39234449760766,10.0478468899522,10.0478468899522,38.755980861244,38.755980861244,"Extensive/shifting"
"31",10.0478468899522,10.0478468899522,2.39234449760766,29.1866028708134,48.3253588516746,"Intensive"
"32",2.34741784037559,9.85915492957746,2.34741784037559,38.0281690140845,47.4178403755869,"Extensive/shifting"
"33",9.85915492957746,2.34741784037559,2.34741784037559,28.6384976525822,56.8075117370892,"Extensive/shifting"
"34",10.2439024390244,20,10.2439024390244,10.2439024390244,49.2682926829268,"Extensive/shifting"
"35",2.34741784037559,9.85915492957746,28.6384976525822,2.34741784037559,56.8075117370892,"Extensive/shifting"
"36",2.39234449760766,29.1866028708134,10.0478468899522,10.0478468899522,48.3253588516746,"Extensive/shifting"
"37",10.0478468899522,2.39234449760766,38.755980861244,10.0478468899522,38.755980861244,"Extensive/shifting"
"38",10.2439024390244,10.2439024390244,10.2439024390244,10.2439024390244,59.0243902439024,"Extensive/shifting"
"39",10.0478468899522,2.39234449760766,19.6172248803828,10.0478468899522,57.8947368421053,NA
"40",10.2439024390244,10.2439024390244,10.2439024390244,10.2439024390244,59.0243902439024,"Extensive/shifting"
"41",10.0478468899522,19.6172248803828,10.0478468899522,2.39234449760766,57.8947368421053,"Extensive/shifting"
"42",10.2439024390244,10.2439024390244,10.2439024390244,10.2439024390244,59.0243902439024,"Extensive/shifting"
"43",2.39234449760766,10.0478468899522,10.0478468899522,10.0478468899522,67.4641148325359,"Extensive/shifting"
"44",10.0478468899522,2.39234449760766,10.0478468899522,19.6172248803828,57.8947368421053,"Extensive/shifting"
"45",2.34741784037559,19.2488262910798,2.34741784037559,9.85915492957746,66.1971830985916,"Extensive/shifting"
"46",2.39234449760766,10.0478468899522,10.0478468899522,10.0478468899522,67.4641148325359,"Extensive/shifting"
"47",10.2439024390244,20,10.2439024390244,10.2439024390244,49.2682926829268,"Extensive/shifting"
"48",2.39234449760766,10.0478468899522,10.0478468899522,10.0478468899522,67.4641148325359,"Extensive/shifting"
"49",2.34741784037559,9.85915492957746,19.2488262910798,2.34741784037559,66.1971830985916,"Extensive/shifting"
"50",10.2439024390244,20,10.2439024390244,10.2439024390244,49.2682926829268,"Extensive/shifting"
"51",2.39234449760766,19.6172248803828,19.6172248803828,10.0478468899522,48.3253588516746,"Extensive/shifting"
"52",2.39234449760766,10.0478468899522,10.0478468899522,10.0478468899522,67.4641148325359,"Extensive/shifting"
"53",2.39234449760766,19.6172248803828,38.755980861244,10.0478468899522,29.1866028708134,"Extensive/shifting"
"54",2.34741784037559,9.85915492957746,9.85915492957746,2.34741784037559,75.5868544600939,NA
