society_id,society_name,society_xd_id,language_glottocode,language_name,language_family,variable_id,code,code_label,focal_year,sub_case,comment
Ig4,Lesu,xd856,nots1237,Notsi,Austronesian,PrecipitationPredictability,0.646031186,,,,
B371,Kotzebue Sound Inuit,xd1016,kotz1238,Kotzebue Sound Inupiatun,Eskimo-Aleut,PrecipitationPredictability,0.646101982,,,,
Nb14,Comox,xd1073,isla1276,Island Comox,Salishan,PrecipitationPredictability,0.646262396,,,,
Ah22,Yergum,xd312,taro1263,Tarok,Atlantic-Congo,PrecipitationPredictability,0.646600259,,,,
Ad42,Haya,xd112,haya1250,Haya,Atlantic-Congo,PrecipitationPredictability,0.646624755,,,,
Ci10,Armenians,xd575,nucl1235,Eastern Armenian,Indo-European,PrecipitationPredictability,0.64675006,,,,
B282,Comox,xd1073,isla1276,Island Comox,Salishan,PrecipitationPredictability,0.646766302,,,,
Ae16,Lulua,xd134,luba1249,Luba-Lulua,Atlantic-Congo,PrecipitationPredictability,0.646774626,,,,
Af2,Kissi,xd197,nort2765,Northern Kissi,Atlantic-Congo,PrecipitationPredictability,0.646841184,,,,
WNAI105,Bitterroot Salish,xd1144,kali1309,Kalispel,Salishan,PrecipitationPredictability,0.647140775,,,,
Nd47,Tukudika,xd1181,nort2955,Northern Shoshoni,Uto-Aztecan,PrecipitationPredictability,0.647151441,,,,
Ec5,Koryak,xd633,kory1246,Koryak,Chukotko-Kamchatkan,PrecipitationPredictability,0.647261972,,,,
WNAI14,Klahoose,xd1071,slia1241,Sliammon,Salishan,PrecipitationPredictability,0.647263609,,,,
Id2,"Yolngu, Dhuwal",xd777,dhuw1249,Dhuwal,Pama-Nyungan,PrecipitationPredictability,0.647346023,,,,
B380,Inupiat,xd1021,nort2944,North Slope Inupiatun,Eskimo-Aleut,PrecipitationPredictability,0.647355295,,,,
WNAI23,Twana,xd1079,twan1247,Twana,Salishan,PrecipitationPredictability,0.647432948,,,,
Ah23,Jibu,xd313,jibu1239,Jibu,Atlantic-Congo,PrecipitationPredictability,0.647475788,,,,
Ah28,Chamba,xd318,samb1305,Samba Leko,Atlantic-Congo,PrecipitationPredictability,0.647475788,,,,
Ah29,Daka,xd319,samb1311,Samba Daka,Atlantic-Congo,PrecipitationPredictability,0.647475788,,,,
Ad47,Sumbwa,xd117,sumb1240,Sumbwa,Atlantic-Congo,PrecipitationPredictability,0.647520165,,,,
B369,Norton Sound Inuit,xd1014,kusk1241,General Central Yup'ik,Eskimo-Aleut,PrecipitationPredictability,0.647607497,,,,
Nb17,Puyallup,xd1076,sout2965,Southern Puget Sound Salish,Salishan,PrecipitationPredictability,0.647618497,,,,
B278,Quinault,xd1085,quin1251,Quinault,Salishan,PrecipitationPredictability,0.647682459,,,,
Ai10,Otoro,xd338,otor1240,Otoro,Heibanic,PrecipitationPredictability,0.64772961,,,,
Ai37,Koalib,xd367,koal1240,Koalib-Rere,Heibanic,PrecipitationPredictability,0.64772961,,,,
Ah34,Bata,xd325,bata1314,Bata,Afro-Asiatic,PrecipitationPredictability,0.64799156,,,,
Ah36,Gude,xd327,gude1246,Gude,Afro-Asiatic,PrecipitationPredictability,0.64799156,,,,
Ah37,Hwana,xd328,hwan1240,Hwana,Afro-Asiatic,PrecipitationPredictability,0.64799156,,,,
Nd10,Nlaka'pamux,xd1142,thom1243,Thompson,Salishan,PrecipitationPredictability,0.648164782,,,,
B3,Anak Dalam,xd757,kubu1239,Kubu,Austronesian,PrecipitationPredictability,0.648428749,,,,
Cb15,Messiria Humr,xd464,tama1331,Tama (Chad),Tamaic,PrecipitationPredictability,0.648542198,,,,
Nd9,Lillooet,xd1207,lill1248,Lillooet,Salishan,PrecipitationPredictability,0.648558424,,,,
Ng12,Choctaw,xd1247,choc1276,Choctaw,Muskogean,PrecipitationPredictability,0.648663554,,,,
SCCS93,Kimam,xd794,kima1246,Kimaama,Kolopom,PrecipitationPredictability,0.648898766,,,,
Ib6,Minangkabau,xd755,mina1268,Minangkabau,Austronesian,PrecipitationPredictability,0.649356104,,,,
SCCS133,Twana,xd1079,twan1247,Twana,Salishan,PrecipitationPredictability,0.649379636,,,,
Ag40,Isala,xd278,tumu1242,Tumulung Sisaala,Atlantic-Congo,PrecipitationPredictability,0.649792556,,,,
Nd7,Kutenai,xd1205,kute1249,Kutenai,,PrecipitationPredictability,0.649943795,,,,
Sc13,Panare,xd1339,enap1235,Panare,Cariban,PrecipitationPredictability,0.650185079,,,,
SCCS177,Tupinambá,xd1416,tupi1273,Tupinambá,Tupian,PrecipitationPredictability,0.650196306,,,,
SCCS16,Tiv,xd320,tivv1240,Tiv,Atlantic-Congo,PrecipitationPredictability,0.650224499,,,,
Ah26,Ndoro,xd316,ndoo1241,Ndoola,Atlantic-Congo,PrecipitationPredictability,0.650278655,,,,
Ah27,Zuande,xd317,bita1251,Bitare,Atlantic-Congo,PrecipitationPredictability,0.650278655,,,,
B21,Nayaka,xd914,jenn1240,Jennu Kurumba,Dravidian,PrecipitationPredictability,0.650337315,,,,
Eg4,Toda,xd680,toda1252,Toda,Dravidian,PrecipitationPredictability,0.650337315,,,,
B386,Baffin Island Inuit,xd1030,baff1240,North Baffin Inuktitut,Eskimo-Aleut,PrecipitationPredictability,0.650721594,,,,
Na13,Baffin Island Inuit,xd1030,baff1240,North Baffin Inuktitut,Eskimo-Aleut,PrecipitationPredictability,0.650721594,,,,
ch15,Erzya Mordvins,xd552,erzy1239,Erzya,Uralic,PrecipitationPredictability,0.650733853,,,,
