society_id,society_name,society_xd_id,language_glottocode,language_name,language_family,variable_id,code,code_label,focal_year,sub_case,comment
SCCS111,Palauans,xd824,pala1344,Palauan,Austronesian,AnnualPrecipitationVariance,14321391631.0,,,,
Ia14,Tao,xd737,yami1254,Yami,Austronesian,AnnualPrecipitationVariance,14390583544.0,,,,
Ae2,Kpe,xd138,mokp1239,Mokpwe,Atlantic-Congo,AnnualPrecipitationVariance,14404955165.0,,,,
Aj17,Alur,xd392,alur1250,Alur,Nilotic,AnnualPrecipitationVariance,14420996332.0,,,,
Ac7,Yao,xd73,yaoo1241,Yao,Atlantic-Congo,AnnualPrecipitationVariance,14422661246.0,,,,
B182,Karuk,xd1095,karo1304,Karok,,AnnualPrecipitationVariance,14443408816.0,,,,
Sc5,Wapishana,xd1348,wapi1253,Wapishana,Arawakan,AnnualPrecipitationVariance,14447864043.0,,,,
B277,Lummi,xd1074,lumm1243,Lummi,Salishan,AnnualPrecipitationVariance,14486937100.0,,,,
SCCS62,Santal,xd661,sant1410,Santali,Austroasiatic,AnnualPrecipitationVariance,14510681796.0,,,,
B41,Bororo,xd1397,boro1282,Bororo,Bororoan,AnnualPrecipitationVariance,14510842380.0,,,,
Si1,Bororo,xd1397,boro1282,Bororo,Bororoan,AnnualPrecipitationVariance,14510842380.0,,,,
Sh7,Guaraní,xd1394,east2555,Eastern Bolivian Guaraní,Tupian,AnnualPrecipitationVariance,14563130390.0,,,,
Cf2,Boers,xd537,afri1274,Afrikaans,Indo-European,AnnualPrecipitationVariance,14576352386.0,,,,
Ie10,Motu,xd786,motu1246,Motu,Austronesian,AnnualPrecipitationVariance,14598519070.0,,,,
Ie20,Koita,xd797,koit1244,Koitabu,Koiarian,AnnualPrecipitationVariance,14598519070.0,,,,
Ie22,Mekeo,xd799,meke1243,Mekeo,Austronesian,AnnualPrecipitationVariance,14598519070.0,,,,
Ie13,Kiwai,xd789,sout2949,Southern Kiwai,Kiwaian,AnnualPrecipitationVariance,14612849358.0,,,,
Nb13,Squamish,xd1072,squa1248,Squamish,Salishan,AnnualPrecipitationVariance,14652359097.0,,,,
If16,Lamotrek,xd831,lamo1243,Lamotrek,Austronesian,AnnualPrecipitationVariance,14694739960.0,,,,
Nb32,Shasta,xd1093,shas1239,Shasta,Shastan,AnnualPrecipitationVariance,14695939976.0,,,,
Nc11,Yana,xd1109,yana1271,Yana,,AnnualPrecipitationVariance,14695939976.0,,,,
