society_id,society_name,society_xd_id,language_glottocode,language_name,language_family,variable_id,code,code_label,focal_year,sub_case,comment
Ei20,Kuki,xd708,lush1249,Mizo,Sino-Tibetan,TemperatureConstancy,0.481692384,,,,
Cg3,Irish,xd543,iris1253,Irish,Indo-European,TemperatureConstancy,0.482440235,,,,
Nb21,Coos,xd1081,coos1249,Hanis,Coosan,TemperatureConstancy,0.482749617,,,,
Ab15,Pedi,xd16,tswe1238,Tswene,Atlantic-Congo,TemperatureConstancy,0.483198363,,,,
Cb20,Zerma,xd470,zarm1239,Zarma-Kaado,Songhay,TemperatureConstancy,0.483350822,,,,
B269,Alsea,xd1088,alse1251,Alsea-Yaquina,,TemperatureConstancy,0.483451965,,,,
SCCS70,Maras,xd710,mara1382,Mara Chin,Sino-Tibetan,TemperatureConstancy,0.484658899,,,,
SCCS29,Fur,xd466,furr1244,Fur,Furan,TemperatureConstancy,0.485097442,,,,
Ia6,Paiwan,xd746,paiw1248,Paiwan,Austronesian,TemperatureConstancy,0.486393369,,,,
Nb28,Alsea,xd1088,alse1251,Alsea-Yaquina,,TemperatureConstancy,0.486600659,,,,
Nb29,Siuslaw,xd1089,sius1254,Siuslaw,,TemperatureConstancy,0.486600659,,,,
WNAI30,Siuslaw,xd1089,sius1254,Siuslaw,,TemperatureConstancy,0.486600659,,,,
Ac33,Lala,xd59,lala1264,Lala-Bisa,Atlantic-Congo,TemperatureConstancy,0.486753627,,,,
SCCS181,Cayua,xd1408,mbya1239,Mbyá Guaraní,Tupian,TemperatureConstancy,0.486838963,,,,
Eg12,Khond,xd675,kuii1252,Kui (India),Dravidian,TemperatureConstancy,0.487470629,,,,
Eg14,Reddi,xd677,mukh1238,Mukha-Dora,Dravidian,TemperatureConstancy,0.487470629,,,,
B54,Ona,xd1385,onaa1245,Selk'nam,Chonan,TemperatureConstancy,0.48796256,,,,
SCCS1,Nama,xd3,nama1265,Nama,Khoe-Kwadi,TemperatureConstancy,0.488015461,,,,
Ca37,Blin,xd445,bili1260,Bilin,Afro-Asiatic,TemperatureConstancy,0.488072804,,,,
Ab18,Shona,xd19,shon1251,Shona,Atlantic-Congo,TemperatureConstancy,0.489421415,,,,
B68,Hai//om,xd930,haio1238,Hai//om,Khoe-Kwadi,TemperatureConstancy,0.489641199,,,,
Ab21b,Bomvana,xd24,bomv1238,Bomvana,Atlantic-Congo,TemperatureConstancy,0.489702093,,,,
Ag29,Samo,xd265,sout2844,Southern Samo,Mande,TemperatureConstancy,0.490308683,,,,
Ag30,Bobo,xd267,nort2819,Northern Bobo Madaré,Mande,TemperatureConstancy,0.490410012,,,,
Ag2,Mossi (Yatenga),xd255,moss1236,Mossi,Atlantic-Congo,TemperatureConstancy,0.491232122,,,,
B134,Bunurong,xd978,woiw1237,Woiwurrung,Pama-Nyungan,TemperatureConstancy,0.491376437,,,,
Ac37,Kunda,xd63,kund1255,Chikunda,Atlantic-Congo,TemperatureConstancy,0.491922365,,,,
B177,Coast Yuki,xd1113,yuki1243,Yuki,Yuki-Wappo,TemperatureConstancy,0.492292145,,,,
