society_id,society_name,society_xd_id,language_glottocode,language_name,language_family,variable_id,code,code_label,focal_year,sub_case,comment
Ai26,Ngbandi,xd355,nort2774,Northern Ngbandi,Atlantic-Congo,TemperaturePredictability,0.810975895,,,,
Af45,Avikam,xd225,avik1243,Avikam,Atlantic-Congo,TemperaturePredictability,0.811370803,,,,
Sd3,Palikur,xd1355,pali1279,Palikúr,Arawakan,TemperaturePredictability,0.811668449,,,,
B63,Baka,xd926,baka1272,Baka (Cameroon),Atlantic-Congo,TemperaturePredictability,0.812060335,,,,
Ai25,Mbandja,xd354,mban1263,Mbandja,Atlantic-Congo,TemperaturePredictability,0.812092422,,,,
B65,Mbuti,xd5,bila1255,Bila,Atlantic-Congo,TemperaturePredictability,0.812366192,,,,
Ae40,Dzem,xd161,njye1238,Njyem,Atlantic-Congo,TemperaturePredictability,0.812572695,,,,
Ih14,Mbau Fijians,xd867,bauu1243,Bau (Fijian),Austronesian,TemperaturePredictability,0.812714891,,,,
Ih8,Vanua Levu,xd874,nort2843,Northeast Vanua Levu,Austronesian,TemperaturePredictability,0.812714891,,,,
Ai28,Popoi,xd357,popo1291,Popoi,Central Sudanic,TemperaturePredictability,0.812725553,,,,
Ij9,Easter Islanders,xd898,rapa1244,Rapanui,Austronesian,TemperaturePredictability,0.812908695,,,,
Ae5,Bamileke,xd171,fefe1239,Fe'fe',Atlantic-Congo,TemperaturePredictability,0.812924168,,,,
Ae33,Ndaka Babali,xd153,bali1274,Bali (Democratic Republic of Congo),Atlantic-Congo,TemperaturePredictability,0.812991593,,,,
Sc3,Barama River Carib,xd1346,mura1272,Murato,Cariban,TemperaturePredictability,0.813370073,,,,
Af25,Isoko,xd203,isok1239,Isoko,Atlantic-Congo,TemperaturePredictability,0.813752189,,,,
Aa5,Mbuti,xd5,bila1255,Bila,Atlantic-Congo,TemperaturePredictability,0.813877594,,,,
Ae31,Budu,xd151,budu1250,Budu,Atlantic-Congo,TemperaturePredictability,0.813877594,,,,
Af22,Itsekiri,xd200,isek1239,Isekiri,Atlantic-Congo,TemperaturePredictability,0.813929671,,,,
SCCS83,Javanese,xd751,java1254,Javanese,Austronesian,TemperaturePredictability,0.814093763,,,,
Ad28,Zigula,xd96,zigu1242,Zigula,Atlantic-Congo,TemperaturePredictability,0.814223465,,,,
Ad29,Hadimu,xd97,pemb1239,Pemba,Atlantic-Congo,TemperaturePredictability,0.8142323,,,,
Af44,Alagya,xd224,alla1248,Alladian,Atlantic-Congo,TemperaturePredictability,0.815156918,,,,
Af40,Assini,xd220,abur1243,Abure,Atlantic-Congo,TemperaturePredictability,0.815660988,,,,
Ib6,Minangkabau,xd755,mina1268,Minangkabau,Austronesian,TemperaturePredictability,0.8159324,,,,
Ac19,Teke,xd43,teke1278,Teke-Eboo-Nzikou,Atlantic-Congo,TemperaturePredictability,0.815997666,,,,
B11,Hill Pandaram,xd905,mala1468,Malapandaram,Dravidian,TemperaturePredictability,0.816129024,,,,
